positive_class,true_negatives,false_positives,false_negatives,true_positives,example_count,accuracy_score,recall_score,precision_score,f1_score
0,22,0,0,14,36,1.0,1.0,1.0,1.0
1,22,0,0,14,36,1.0,1.0,1.0,1.0
2,28,0,0,8,36,1.0,1.0,1.0,1.0
